Date,Adj Close,Close,High,Low,Open,Volume,GDP,CPI,industry_type,Company
9/14/2022,13.11510372,13.12800026,13.28999996,12.91300011,13.25399971,2302390,296.341,588507000,MANUFACTURE,NVIDIA
9/15/2022,12.91629696,12.9289999,13.2329998,12.78999996,13.01500034,2302390,296.341,523625000,MANUFACTURE,NVIDIA
9/16/2022,13.1850338,13.19799995,13.21199989,12.61699963,12.74199963,2302390,296.341,670751000,MANUFACTURE,NVIDIA
9/19/2022,13.36885452,13.38199997,13.4630003,13.01000023,13.01200008,2302390,296.341,569685000,MANUFACTURE,NVIDIA
9/20/2022,13.16305542,13.17599964,13.4829998,13.05700016,13.21500015,2302390,296.341,524818000,MANUFACTURE,NVIDIA
9/21/2022,13.24797249,13.26099968,14.03100014,13.10999966,13.2130003,2302390,296.341,807679000,MANUFACTURE,NVIDIA
9/22/2022,12.54865932,12.56099987,13.14900017,12.42800045,13.06999969,2302390,296.341,759162000,MANUFACTURE,NVIDIA
9/23/2022,12.50370407,12.51599979,12.61100006,12.25699997,12.42000008,2302390,296.341,663309000,MANUFACTURE,NVIDIA
9/26/2022,12.21598625,12.22799969,12.6590004,12.21399975,12.49100018,2302390,296.341,547343000,MANUFACTURE,NVIDIA
9/27/2022,12.40080547,12.41300011,12.73600006,12.25800037,12.50699997,2302390,296.341,553854000,MANUFACTURE,NVIDIA
9/28/2022,12.72348881,12.73600006,12.82299995,12.35400009,12.40999985,2302390,296.341,542414000,MANUFACTURE,NVIDIA
9/29/2022,12.20799541,12.22000027,12.5,11.9460001,12.44799995,2302390,296.341,532763000,MANUFACTURE,NVIDIA
9/30/2022,12.1270752,12.13899994,12.63300037,12.07499981,12.08699989,2302390,296.341,565638000,MANUFACTURE,NVIDIA
10/3/2022,12.49971008,12.51200008,12.67800045,12.10499954,12.34700012,2312426,297.863,547478000,MANUFACTURE,NVIDIA
10/4/2022,13.15406322,13.16699982,13.22000027,12.87899971,12.87899971,2312426,297.863,584182000,MANUFACTURE,NVIDIA
10/5/2022,13.19602203,13.20899963,13.3210001,12.62100029,12.91100025,2312426,297.863,507131000,MANUFACTURE,NVIDIA
10/6/2022,13.11710072,13.13000011,13.65600014,13.10299969,13.22000027,2312426,297.863,644157000,MANUFACTURE,NVIDIA
10/7/2022,12.06413651,12.07600021,12.67000008,12.02200031,12.50500011,2312426,297.863,672478000,MANUFACTURE,NVIDIA
10/10/2022,11.658535,11.67000008,12.1239996,11.40799999,12.0369997,2312426,297.863,698699000,MANUFACTURE,NVIDIA
10/11/2022,11.57461739,11.58600044,11.84599972,11.28299999,11.56099987,2312426,297.863,667482000,MANUFACTURE,NVIDIA
10/12/2022,11.48870373,11.5,11.73499966,11.34500027,11.57900047,2312426,297.863,492590000,MANUFACTURE,NVIDIA
10/13/2022,11.94824982,11.96000004,12.07800007,10.81299973,10.97099972,2312426,297.863,850103000,MANUFACTURE,NVIDIA
10/14/2022,11.21597004,11.22700024,12.11100006,11.20400047,12.05700016,2312426,297.863,713432000,MANUFACTURE,NVIDIA
10/17/2022,11.87632084,11.88799953,11.94799995,11.5170002,11.51799965,2312426,297.863,580774000,MANUFACTURE,NVIDIA
10/18/2022,11.95524311,11.96700001,12.49199963,11.61800003,12.34399986,2312426,297.863,659362000,MANUFACTURE,NVIDIA
10/19/2022,12.03916073,12.05099964,12.35000038,11.83399963,11.87899971,2312426,297.863,523131000,MANUFACTURE,NVIDIA
10/20/2022,12.18202019,12.19400024,12.76900005,12.10499954,12.11299992,2312426,297.863,652398000,MANUFACTURE,NVIDIA
10/21/2022,12.45375347,12.4659996,12.49800014,11.88700008,12.09799957,2312426,297.863,609494000,MANUFACTURE,NVIDIA
10/24/2022,12.58662224,12.59899998,12.71000004,12.06400013,12.50800037,2312426,297.863,517457000,MANUFACTURE,NVIDIA
10/25/2022,13.24797249,13.26099968,13.30000019,12.66399956,12.69400024,2312426,297.863,505482000,MANUFACTURE,NVIDIA
10/26/2022,12.88332939,12.89599991,13.38799953,12.70800018,12.86900043,2312426,297.863,532953000,MANUFACTURE,NVIDIA
10/27/2022,13.16305542,13.17599964,13.8380003,13.12199974,13.63000011,2312426,297.863,583113000,MANUFACTURE,NVIDIA
10/28/2022,13.82040977,13.83399963,13.85000038,13.06099987,13.10400009,2312426,297.863,521040000,MANUFACTURE,NVIDIA
10/31/2022,13.48373985,13.49699974,13.8380003,13.29699993,13.77799988,2312426,297.863,486341000,MANUFACTURE,NVIDIA
11/1/2022,13.52969551,13.54300022,13.92500019,13.51900005,13.81099987,2312426,298.648,432817000,MANUFACTURE,NVIDIA
11/2/2022,13.20601368,13.21899986,14.21000004,13.21100044,13.85000038,2312426,298.648,672628000,MANUFACTURE,NVIDIA
11/3/2022,13.40781403,13.42099953,13.78100014,12.95600033,13.04300022,2312426,298.648,500065000,MANUFACTURE,NVIDIA
11/4/2022,14.1420927,14.15600014,14.22900009,13.69699955,13.98600006,2312426,298.648,612576000,MANUFACTURE,NVIDIA
11/7/2022,14.2869482,14.30099964,14.4119997,13.95400047,14.22799969,2312426,298.648,410061000,MANUFACTURE,NVIDIA
11/8/2022,14.58765507,14.60200024,14.89099979,14.2159996,14.80099964,2312426,298.648,595292000,MANUFACTURE,NVIDIA
11/9/2022,13.76246643,13.77600002,14.21100044,13.75899982,14.1619997,2312426,298.648,454414000,MANUFACTURE,NVIDIA
11/10/2022,15.73452663,15.75,15.77299976,14.54699993,14.80000019,2312426,298.648,700819000,MANUFACTURE,NVIDIA
11/11/2022,16.31095886,16.32699966,16.38899994,15.48200035,15.80700016,2312426,298.648,655487000,MANUFACTURE,NVIDIA
11/14/2022,16.27898979,16.29500008,16.54000092,15.92199993,16.21800041,2312426,298.648,527852000,MANUFACTURE,NVIDIA
11/15/2022,16.64962578,16.66600037,16.99799919,16.38199997,16.72200012,2312426,298.648,545876000,MANUFACTURE,NVIDIA
11/16/2022,15.89437008,15.90999985,16.36199951,15.87300014,16.16200066,2312426,298.648,649547000,MANUFACTURE,NVIDIA
11/17/2022,15.66160011,15.67700005,16.26600075,15.53499985,15.71500015,2312426,298.648,710894000,MANUFACTURE,NVIDIA
11/18/2022,15.39386177,15.4090004,16.00200081,15.11999989,15.9659996,2312426,298.648,492072000,MANUFACTURE,NVIDIA
11/21/2022,15.30195332,15.31700039,15.47700024,15.07999992,15.14700031,2312426,298.648,404739000,MANUFACTURE,NVIDIA
11/22/2022,16.0222435,16.03800011,16.05800056,15.12199974,15.32800007,2312426,298.648,472866000,MANUFACTURE,NVIDIA
11/23/2022,16.50276947,16.5189991,16.52700043,16.04800034,16.09799957,2312426,298.648,427241000,MANUFACTURE,NVIDIA
11/25/2022,16.25401878,16.27000046,16.48699951,16.17200089,16.31800079,2312426,298.648,167934000,MANUFACTURE,NVIDIA
11/28/2022,15.81145191,15.82699966,16.35700035,15.72500038,16.02599907,2312426,298.648,303741000,MANUFACTURE,NVIDIA
11/29/2022,15.62363625,15.63899994,15.93200016,15.52000046,15.82699966,2312426,298.648,298384000,MANUFACTURE,NVIDIA
11/30/2022,16.91069794,16.92300034,16.93000031,15.59700012,15.69699955,2312426,298.648,565298000,MANUFACTURE,NVIDIA
12/1/2022,17.12254715,17.13500023,17.26499939,16.63500023,16.99900055,2312426,298.812,470977000,MANUFACTURE,NVIDIA
12/2/2022,16.86373329,16.87599945,16.93300056,16.44499969,16.6590004,2312426,298.812,371389000,MANUFACTURE,NVIDIA
12/5/2022,16.59792709,16.61000061,16.99500084,16.47200012,16.67900085,2312426,298.812,352255000,MANUFACTURE,NVIDIA
12/6/2022,15.9753809,15.98700047,16.57299995,15.81900024,16.53000069,2312426,298.812,352694000,MANUFACTURE,NVIDIA
12/7/2022,16.108284,16.12000084,16.18600082,15.66699982,15.77200031,2312426,298.812,372388000,MANUFACTURE,NVIDIA
12/8/2022,17.15652275,17.16900063,17.17900085,15.95899963,16.27300072,2312426,298.812,515456000,MANUFACTURE,NVIDIA
12/9/2022,16.98864365,17.00099945,17.58300018,16.97500038,17.15999985,2312426,298.812,465338000,MANUFACTURE,NVIDIA
12/12/2022,17.52225685,17.53499985,17.53800011,16.79700089,17.03700066,2312426,298.812,457328000,MANUFACTURE,NVIDIA
12/13/2022,18.05886841,18.0720005,18.79000092,17.71100044,18.53100014,2312426,298.812,656589000,MANUFACTURE,NVIDIA
12/14/2022,17.66115189,17.67399979,18.25200081,17.42000008,17.98699951,2312426,298.812,496888000,MANUFACTURE,NVIDIA
12/15/2022,16.93967819,16.95199966,17.31999969,16.70000076,17.14599991,2312426,298.812,478542000,MANUFACTURE,NVIDIA
12/16/2022,16.55895615,16.57099915,17.04100037,16.40999985,16.86400032,2312426,298.812,478232000,MANUFACTURE,NVIDIA
12/19/2022,16.24218369,16.25399971,16.60899925,16.14500046,16.5720005,2312426,298.812,354039000,MANUFACTURE,NVIDIA
12/20/2022,16.07330894,16.08499908,16.30999947,15.85200024,16.06399918,2312426,298.812,403260000,MANUFACTURE,NVIDIA
12/21/2022,16.48900795,16.50099945,16.62700081,16.10199928,16.11400032,2312426,298.812,325025000,MANUFACTURE,NVIDIA
12/22/2022,15.3278513,15.33899975,16.13800049,14.88199997,16.09399986,2312426,298.812,565045000,MANUFACTURE,NVIDIA
12/23/2022,15.19494915,15.20600033,15.33899975,14.88300037,15.1960001,2312426,298.812,349326000,MANUFACTURE,NVIDIA
12/27/2022,14.11073685,14.12100029,15.10000038,14.05599976,15.07400036,2312426,298.812,464902000,MANUFACTURE,NVIDIA
12/28/2022,14.02579784,14.03600025,14.26200008,13.88399982,13.92700005,2312426,298.812,351066000,MANUFACTURE,NVIDIA
